ts,sIP,dIP,udp_sPort,udp_dPort,ip_proto,ip_len,chunk_index
1651792545.968033,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,1
1651792545.968036,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,1
1651792545.968111,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,1
1651792545.968112,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1326.0,1
1651792545.997323,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,562.0,1
1651792545.997326,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,118.0,1
1651792546.023278,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,56.0,1
1651792551.940523,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,58.0,2
1651792551.941305,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,686.0,2
1651792551.941308,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1381.0,2
1651792551.941417,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.941443,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.941443,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.941586,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.941604,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.941749,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.941765,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.941779,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.941923,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.941953,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.941975,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.943986,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.943989,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.944113,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.944146,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.944146,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.944322,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.944328,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.944402,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.945838,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.945847,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.94599,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.94599,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.947239,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.947248,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.94742,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.94742,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.948776,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.948779,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.948832,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.94892,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.948946,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.948946,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.949095,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.949122,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.951726,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.951731,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.951837,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.951863,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.951863,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.95202,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.952059,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.952059,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.953892,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.953896,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.95402,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.95407,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.954072,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.9542,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.954239,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.95424,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.958662,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.958672,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.958807,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792551.95881,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,148.0,2
1651792552.062997,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,58.0,2
1651792552.088671,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,208.0,2
1651792552.088742,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1381.0,2
1651792552.088777,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088795,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088821,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088821,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088844,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088844,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088869,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088869,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088892,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088892,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088926,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088926,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088961,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088961,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.088961,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.090111,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.090114,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.090114,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.090115,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.090226,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.090226,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.090226,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.090226,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.092332,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.092336,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.092484,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.092484,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
1651792552.092485,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,2
